Type,Name,DisplayName,ResponsibleTeam,Manufacturer,Supplier,SerialNumber,ParentName,StationIdentifier,ClientPcHostname,Metadata,PinnedObjectHandle,OrganizationId,StorageLocation,EquipmentStatus,MachineId,StockQuantity,MinStockThreshold,IsStockItem,Technology,MachineType,GroupId
Machine,L01-OP010,L01-OP010 – Hyper-Conveyor Pallet Infeed 9000,Plant Maintenance (Synthetic AI Guild),Bosch Rexroth,Insight Industrial,SN-SYNTH-MCH-01-OP010,,LINE-01-OP010,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Assembly"", ""MachineType"": ""ConveyorTransfer"", ""StationIdentifier"": ""LINE-01-OP010"", ""CycleTimeTarget"": ""16s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP010,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP010,InMachine,,,,False,Assembly,ConveyorTransfer,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
Machine,L01-OP020,L01-OP020 – Robo-RFID Pallet Scanner AI-X,Robotics & Cybernetics (Synthetic AI Guild),Balluff,Direct Automation Europe,SN-SYNTH-MCH-01-OP020,,LINE-01-OP020,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Test"", ""MachineType"": ""ConveyorTransfer"", ""StationIdentifier"": ""LINE-01-OP020"", ""CycleTimeTarget"": ""21s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP020,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP020,InMachine,,,,False,Test,ConveyorTransfer,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
Machine,L01-OP030,L01-OP030 – Giga-Gluer 2K Thermal Dispenser Bot,SMT & Microchips (Synthetic AI Guild),Nordson,Insight Industrial,SN-SYNTH-MCH-01-OP030,,LINE-01-OP030,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Dispensing"", ""MachineType"": ""Dispenser"", ""StationIdentifier"": ""LINE-01-OP030"", ""CycleTimeTarget"": ""16s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP030,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP030,InMachine,,,,False,Dispensing,Dispenser,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
Machine,L01-OP040,L01-OP040 – Auto-Bolt Torquinator 3000,Robotics & Cybernetics (Synthetic AI Guild),Atlas Copco,MISUMI Industrial,SN-SYNTH-MCH-01-OP040,,LINE-01-OP040,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Fastening"", ""MachineType"": ""FasteningStation"", ""StationIdentifier"": ""LINE-01-OP040"", ""CycleTimeTarget"": ""53s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP040,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP040,InMachine,,,,False,Fastening,FasteningStation,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
Machine,L01-OP050,L01-OP050 – Pallet-Lift Elevator Mech-Tron,Robotics & Cybernetics (Synthetic AI Guild),Bosch Rexroth,Conrad Electronic,SN-SYNTH-MCH-01-OP050,,LINE-01-OP050,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Assembly"", ""MachineType"": ""ConveyorTransfer"", ""StationIdentifier"": ""LINE-01-OP050"", ""CycleTimeTarget"": ""56s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP050,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP050,InMachine,,,,False,Assembly,ConveyorTransfer,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
Machine,L01-OP060,L01-OP060 – Laser-Zapper Seam Welder Omni-9,SMT & Microchips (Synthetic AI Guild),Trumpf,MISUMI Industrial,SN-SYNTH-MCH-01-OP060,,LINE-01-OP060,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Welding"", ""MachineType"": ""LaserWelder"", ""StationIdentifier"": ""LINE-01-OP060"", ""CycleTimeTarget"": ""32s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP060,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP060,InMachine,,,,False,Welding,LaserWelder,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
Machine,L01-OP070,L01-OP070 – High-Voltage Sparky Insulation Tester,Plant Maintenance (Synthetic AI Guild),Chroma,RS Components,SN-SYNTH-MCH-01-OP070,,LINE-01-OP070,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Test"", ""MachineType"": ""EOLTester"", ""StationIdentifier"": ""LINE-01-OP070"", ""CycleTimeTarget"": ""36s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP070,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP070,InMachine,,,,False,Test,EOLTester,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
Machine,L01-OP080,L01-OP080 – Cell-Loader Gantry Manipulator AI,Robotics & Cybernetics (Synthetic AI Guild),KUKA,Farnell Components,SN-SYNTH-MCH-01-OP080,,LINE-01-OP080,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Robotics"", ""MachineType"": ""RobotCell"", ""StationIdentifier"": ""LINE-01-OP080"", ""CycleTimeTarget"": ""21s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""24V DC Industrial Spool"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP080,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP080,InMachine,,,,False,Robotics,RobotCell,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
Machine,L01-OP090,L01-OP090 – Deep-Vision AOI Flaw-Finder 4000,Controls Engineering (Synthetic AI Guild),Cognex,Farnell Components,SN-SYNTH-MCH-01-OP090,,LINE-01-OP090,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Test"", ""MachineType"": ""VisionInspection"", ""StationIdentifier"": ""LINE-01-OP090"", ""CycleTimeTarget"": ""37s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP090,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP090,InMachine,,,,False,Test,VisionInspection,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
Machine,L01-OP100,L01-OP100 – Multi-Spindle Cover Fastener Cyber,Plant Maintenance (Synthetic AI Guild),Atlas Copco,RS Components,SN-SYNTH-MCH-01-OP100,,LINE-01-OP100,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Fastening"", ""MachineType"": ""FasteningStation"", ""StationIdentifier"": ""LINE-01-OP100"", ""CycleTimeTarget"": ""49s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""24V DC Industrial Spool"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP100,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP100,InMachine,,,,False,Fastening,FasteningStation,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
